Data_Date,Formulary_ID,Formulary_Name,Payer_Name,Channel,Lives,NDC,Product_Name,Formulary_Status,Restriction,Tier,Effective_Date,As_Of_Date
2026-07-01,FRM88011,Keystone Complete Formulary,Keystone Mutual,Managed Medicaid,1069507,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88012,Northgate Advantage Formulary,Northgate Insurance,Commercial,1918055,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88013,Everest EPO Formulary,Everest Wellness,Commercial,692585,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88014,Juniper POS Formulary,Juniper Insurance,Commercial,1025288,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88015,Lakeside Complete Formulary,Lakeside Health Plan,Managed Medicaid,707592,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88016,Everest Choice HMO Formulary,Everest Mutual,Medicare Advantage,2185870,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88017,Gateway Preferred Formulary,Gateway Health,Commercial,2483096,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88018,Ironwood PPO Formulary,Ironwood Care,Commercial,312197,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88019,Lakeside POS Formulary,Lakeside Alliance,Medicare Advantage,1722333,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88020,Highland Advantage Formulary,Highland Mutual,Medicare Advantage,3072965,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88021,Riverbend POS Formulary,Riverbend Wellness,Commercial,2264345,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88022,Prairie HMO Formulary,Prairie Wellness,Medicare Advantage,2323231,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88023,Pinecrest Complete Formulary,Pinecrest Mutual,Medicare Advantage,911521,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88024,Keystone Complete Formulary,Keystone Insurance,Commercial,1789221,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88025,Harborview Choice HMO Formulary,Harborview Health,Commercial,225312,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88026,Stonegate HMO Formulary,Stonegate Care,Health Exchange,1001516,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88027,Granite Advantage Formulary,Granite Care,Health Exchange,2463099,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88028,Silverpeak Advantage Formulary,Silverpeak Insurance,Commercial,2832272,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88029,Prairie HMO Formulary,Prairie Care,Managed Medicaid,909033,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88030,Juniper EPO Formulary,Juniper Insurance,Medicare Advantage,2293421,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88031,Lakeside HMO Formulary,Lakeside Insurance,Commercial,3128921,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88032,Gateway Select PPO Formulary,Gateway Wellness,Managed Medicaid,2064051,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88033,Redwood PPO Formulary,Redwood Health,Commercial,563697,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88034,Vantage HMO Formulary,Vantage Health,Commercial,2913346,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88035,Beacon EPO Formulary,Beacon Mutual,Commercial,1307929,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88036,Riverbend Preferred Formulary,Riverbend Benefit,Medicare Advantage,2618243,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88037,Cascade Choice HMO Formulary,Cascade Health Plan,Medicare Advantage,2824794,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88038,Keystone Complete Formulary,Keystone Health,Commercial,852069,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88039,Cascade Advantage Formulary,Cascade Wellness,Commercial,1183545,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88040,Lantern PPO Formulary,Lantern Benefit,Commercial,1110615,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88041,Nautilus Choice HMO Formulary,Nautilus Benefit,Medicare Advantage,2557624,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88042,Nautilus Preferred Formulary,Nautilus Health,Managed Medicaid,2895887,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88043,Brightwater HMO Formulary,Brightwater Benefit,Health Exchange,1274642,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88044,Vantage POS Formulary,Vantage Health Plan,Medicare Advantage,2803916,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88045,Meridian Select PPO Formulary,Meridian Insurance,Commercial,1818081,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88046,Sequoia EPO Formulary,Sequoia Alliance,Health Exchange,370658,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88047,Ironwood EPO Formulary,Ironwood Wellness,Commercial,208834,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88048,Wayfarer Advantage Formulary,Wayfarer Wellness,Medicare Advantage,1691265,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88049,Ironwood Preferred Formulary,Ironwood Health Plan,Medicare Advantage,225631,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88050,Trailhead Complete Formulary,Trailhead Benefit,Managed Medicaid,3031853,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88051,Oakmont POS Formulary,Oakmont Insurance,Health Exchange,1178128,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88052,Copperfield Select PPO Formulary,Copperfield Wellness,Commercial,1355959,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88053,Beacon HMO Formulary,Beacon Wellness,Medicare Advantage,1724595,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88054,Monarch PPO Formulary,Monarch Mutual,Managed Medicaid,1610433,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88055,Monarch Complete Formulary,Monarch Wellness,Commercial,1159773,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88056,Lantern Complete Formulary,Lantern Health Plan,Commercial,2624934,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88057,Lakeside EPO Formulary,Lakeside Alliance,Commercial,1106174,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88058,Gateway Select PPO Formulary,Gateway Mutual,Medicare Advantage,1073103,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88059,Harborview POS Formulary,Harborview Benefit,Health Exchange,302806,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88060,Brightwater POS Formulary,Brightwater Health Plan,Commercial,2001259,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88061,Juniper HMO Formulary,Juniper Health Plan,Commercial,1319591,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88062,Lantern HMO Formulary,Lantern Wellness,Managed Medicaid,2911646,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88063,Northgate Choice HMO Formulary,Northgate Health,Managed Medicaid,1811747,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88064,Ridgeline Advantage Formulary,Ridgeline Care,Commercial,2680837,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88065,Redwood Complete Formulary,Redwood Alliance,Medicare Advantage,3081146,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88066,Oakmont Complete Formulary,Oakmont Wellness,Managed Medicaid,2574916,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88067,Stonegate POS Formulary,Stonegate Alliance,Commercial,1098608,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88068,Trailhead HMO Formulary,Trailhead Wellness,Commercial,3035212,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88069,Ridgeline PPO Formulary,Ridgeline Alliance,Commercial,1249113,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88070,Juniper Preferred Formulary,Juniper Alliance,Managed Medicaid,1456823,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88071,Redwood Select PPO Formulary,Redwood Insurance,Commercial,521067,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88072,Stonegate POS Formulary,Stonegate Wellness,Health Exchange,2045876,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88073,Ironwood EPO Formulary,Ironwood Benefit,Commercial,74342,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88074,Copperfield Complete Formulary,Copperfield Health Plan,Commercial,66444,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88075,Stonegate Select PPO Formulary,Stonegate Health,Medicare Advantage,493516,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88076,Harborview EPO Formulary,Harborview Health Plan,Managed Medicaid,1289378,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88077,Zephyr Preferred Formulary,Zephyr Wellness,Medicare Advantage,1904594,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88078,Brightwater HMO Formulary,Brightwater Health,Commercial,2638600,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88079,Stonegate EPO Formulary,Stonegate Care,Commercial,1728446,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88080,Copperfield Complete Formulary,Copperfield Insurance,Commercial,2898101,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88081,Union EPO Formulary,Union Wellness,Commercial,611582,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88082,Wayfarer Complete Formulary,Wayfarer Insurance,Commercial,1980861,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88083,Ridgeline HMO Formulary,Ridgeline Alliance,Managed Medicaid,182188,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88084,Ironwood Select PPO Formulary,Ironwood Health,Managed Medicaid,183743,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88085,Yellowstone Complete Formulary,Yellowstone Mutual,Commercial,1986366,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88086,Pinecrest Advantage Formulary,Pinecrest Benefit,Health Exchange,2093147,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88087,Foundry Choice HMO Formulary,Foundry Insurance,Commercial,1710233,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88088,Trailhead Complete Formulary,Trailhead Benefit,Health Exchange,1869054,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88089,Copperfield Complete Formulary,Copperfield Alliance,Commercial,136087,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88090,Vantage HMO Formulary,Vantage Mutual,Commercial,490890,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88091,Sequoia Advantage Formulary,Sequoia Insurance,Medicare Advantage,1995633,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88092,Zephyr HMO Formulary,Zephyr Health Plan,Commercial,1755394,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88093,Yellowstone EPO Formulary,Yellowstone Alliance,Medicare Advantage,2273970,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88094,Keystone Choice HMO Formulary,Keystone Alliance,Commercial,2940520,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88095,Foundry Advantage Formulary,Foundry Alliance,Medicare Advantage,2798712,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88096,Yellowstone HMO Formulary,Yellowstone Benefit,Medicare Advantage,433221,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88097,Summit Select PPO Formulary,Summit Alliance,Commercial,2629139,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88098,Keystone Complete Formulary,Keystone Benefit,Managed Medicaid,165571,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88099,Nautilus HMO Formulary,Nautilus Care,Medicare Advantage,712784,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88100,Copperfield Choice HMO Formulary,Copperfield Benefit,Medicare Advantage,625563,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88101,Cedar POS Formulary,Cedar Mutual,Medicare Advantage,2460938,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88102,Prairie PPO Formulary,Prairie Insurance,Medicare Advantage,1221414,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88103,Everest Select PPO Formulary,Everest Mutual,Medicare Advantage,1282190,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88104,Keystone Select PPO Formulary,Keystone Benefit,Health Exchange,1253287,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88105,Harborview Select PPO Formulary,Harborview Alliance,Commercial,2561215,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88106,Lakeside PPO Formulary,Lakeside Care,Commercial,1863946,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88107,Foundry EPO Formulary,Foundry Mutual,Commercial,569318,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88108,Copperfield HMO Formulary,Copperfield Benefit,Medicare Advantage,330828,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88109,Cedar PPO Formulary,Cedar Mutual,Commercial,2265547,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88110,Yellowstone Choice HMO Formulary,Yellowstone Mutual,Commercial,2845469,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88111,Foundry HMO Formulary,Foundry Wellness,Health Exchange,1962279,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88112,Granite Complete Formulary,Granite Insurance,Commercial,422652,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88113,Union EPO Formulary,Union Mutual,Medicare Advantage,2761941,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88114,Juniper Complete Formulary,Juniper Wellness,Medicare Advantage,1005328,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88115,Harborview Select PPO Formulary,Harborview Mutual,Commercial,527374,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88116,Cascade Choice HMO Formulary,Cascade Health,Commercial,543163,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88117,Ironwood EPO Formulary,Ironwood Benefit,Managed Medicaid,26893,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88118,Stonegate PPO Formulary,Stonegate Care,Commercial,77328,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88119,Bluegrass EPO Formulary,Bluegrass Health,Health Exchange,1780636,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88120,Sequoia Complete Formulary,Sequoia Care,Managed Medicaid,944247,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88121,Harborview Advantage Formulary,Harborview Alliance,Medicare Advantage,2892701,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88122,Foundry HMO Formulary,Foundry Health Plan,Commercial,1168500,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88123,Zephyr HMO Formulary,Zephyr Mutual,Health Exchange,494887,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88124,Gateway Advantage Formulary,Gateway Alliance,Medicare Advantage,3075216,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88125,Juniper Complete Formulary,Juniper Health Plan,Commercial,397624,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88126,Lakeside Preferred Formulary,Lakeside Health,Managed Medicaid,1397635,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88127,Harborview Select PPO Formulary,Harborview Insurance,Commercial,449532,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88128,Highland HMO Formulary,Highland Benefit,Commercial,2422949,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88129,Cascade Select PPO Formulary,Cascade Health Plan,Health Exchange,1310975,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88130,Wayfarer HMO Formulary,Wayfarer Mutual,Commercial,3122849,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88131,Prairie EPO Formulary,Prairie Benefit,Commercial,1322101,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88132,Brightwater HMO Formulary,Brightwater Health,Commercial,1873550,00078-0912-01,Onvantra,On Formulary,None,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88133,Fairview Choice HMO Formulary,Fairview Care,Medicare Advantage,480105,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88134,Lantern PPO Formulary,Lantern Health,Commercial,1279244,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88135,Northgate Complete Formulary,Northgate Health,Health Exchange,1821298,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88136,Sequoia HMO Formulary,Sequoia Benefit,Medicare Advantage,3127346,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88137,Foundry Advantage Formulary,Foundry Mutual,Health Exchange,2699948,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88138,Foundry Complete Formulary,Foundry Health Plan,Health Exchange,1532720,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88139,Yellowstone Preferred Formulary,Yellowstone Mutual,Commercial,1674965,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88140,Summit Preferred Formulary,Summit Care,Managed Medicaid,828291,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88141,Beacon POS Formulary,Beacon Insurance,Commercial,2541644,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88142,Prairie Choice HMO Formulary,Prairie Alliance,Health Exchange,1340982,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88143,Everest PPO Formulary,Everest Insurance,Commercial,2142925,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88144,Harborview Select PPO Formulary,Harborview Benefit,Commercial,2718927,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88145,Granite POS Formulary,Granite Alliance,Commercial,2552578,00078-0912-01,Onvantra,On Formulary,None,Specialty,2025-10-01,2026-07-01
2026-07-01,FRM88146,Gateway Preferred Formulary,Gateway Care,Health Exchange,738764,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88147,Trailhead Choice HMO Formulary,Trailhead Health Plan,Commercial,1201541,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88148,Harborview HMO Formulary,Harborview Benefit,Commercial,411386,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2026-05-01,2026-07-01
2026-07-01,FRM88149,Beacon HMO Formulary,Beacon Benefit,Managed Medicaid,2798390,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88150,Lakeside Select PPO Formulary,Lakeside Care,Managed Medicaid,1594907,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2026-03-01,2026-07-01
2026-07-01,FRM88151,Sequoia PPO Formulary,Sequoia Benefit,Commercial,1310478,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88152,Ironwood EPO Formulary,Ironwood Health Plan,Commercial,1255641,00078-0912-01,Onvantra,On Formulary,PA;QL,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88153,Zephyr EPO Formulary,Zephyr Mutual,Commercial,773522,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2026-01-15,2026-07-01
2026-07-01,FRM88154,Silverpeak Select PPO Formulary,Silverpeak Alliance,Health Exchange,1897940,00078-0912-01,Onvantra,On Formulary,PA,Specialty,2025-11-01,2026-07-01
2026-07-01,FRM88155,Juniper Complete Formulary,Juniper Alliance,Commercial,1616689,00078-0912-01,Onvantra,On Formulary,QL,Specialty,2025-11-01,2026-07-01
